RÉSUMÉ ÉTUDIANT
Code,6414
Année,6A
Type,4
Groupe,G4_11
Vacations Poly (total),66
Détail,normal:61 examen:3 rattrap:2 débord:0

Semaine,Période,lundi M,lundi AM,mardi M,mardi AM,mercredi M,mercredi AM,jeudi M,jeudi AM,vendredi M,vendredi AM
36,1,cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C)
37,1,cours/indispo promo (C),—,—,cours/indispo promo (C),—,—,Poly 4/6 avec 4414,cours/indispo promo (C),cours/indispo promo (C),Poly 4/6 avec 4414
38,1,cours/indispo promo (C),—,—,cours/indispo promo (C),—,—,Poly 4/6 avec 4414,cours/indispo promo (C),cours/indispo promo (C),Poly 4/6 avec 4414
39,1,—,Urgences (6/4),—,cours/indispo promo (C),—,—,Poly 4/6 avec 4414,cours/indispo promo (C),Pédo-soin (PEDO-A4),—
40,1,—,—,—,—,—,—,Poly 4/6 avec 4414,—,Pédo-soin (PEDO-A4),Poly 4/6 avec 4414
41,1,Urgences (6/5),—,—,—,—,—,Poly 4/6 avec 4414,—,Pédo-soin (PEDO-A4),Poly 4/6 avec 4414
42,1,—,—,—,—,—,—,Poly 4/6 avec 4414,Urgences (6/5),Pédo-soin (PEDO-A4),Poly 4/6 avec 4414
43,1,—,—,—,—,Stérilisation,—,Poly 4/6 avec 4414,—,Pédo-soin (PEDO-A4),—
44,1,—,—,Urgences (6/4),—,—,—,Poly 4/6 avec 4414,—,Pédo-soin (PEDO-A4),Poly 4/6 avec 4414
45,2,—,—,—,—,Urgences (6/4),Pédo-soin (PEDO-A1),—,Poly 4/6 avec 4414 (rattrap),—,—
46,2,—,—,—,—,cours/indispo promo (F),cours/indispo promo (F),Urgences (6/4),—,—,—
47,2,—,—,—,—,—,Pédo-soin (PEDO-A1),Poly 4/6 avec 4414,—,Poly 4/6 avec 4414,Urgences (6/5)
48,2,—,—,—,—,—,Pédo-soin (PEDO-A1),Poly 4/6 avec 4414,—,Poly 4/6 avec 4414,—
49,2,—,Urgences (6/4),—,—,—,Pédo-soin (PEDO-A1),Poly 4/6 avec 4414,—,—,—
50,2,—,Urgences (6/4),—,—,cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (ER),cours/indispo promo (ER),Poly 4/6 avec 4414,—
51,2,—,—,—,—,Urgences (6/4),Pédo-soin (PEDO-A1),Poly 4/6 avec 4414,—,Poly 4/6 avec 4414,—
52,2,—,—,—,—,—,Pédo-soin (PEDO-A1),—,cours/indispo promo (F),cours/indispo promo (F),cours/indispo promo (F)
1,2,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé
2,3,—,—,Poly 4/6 avec 4414 (examen),Poly 4/6 avec 4414 (examen),—,—,—,—,Pédo-soin (PEDO-6A-B-venM),—
3,3,—,—,—,—,—,—,Poly 4/6 avec 4414,—,Pédo-soin (PEDO-6A-B-venM),Poly 4/6 avec 4414
4,3,—,—,—,—,—,—,Poly 4/6 avec 4414,—,Pédo-soin (PEDO-6A-B-venM),Poly 4/6 avec 4414
5,3,Urgences (6/4),—,—,—,—,—,Poly 4/6 avec 4414,—,Pédo-soin (PEDO-6A-B-venM),—
6,3,Urgences (6/4),—,—,—,—,—,Urgences (6/4),—,Pédo-soin (PEDO-6A-B-venM),Poly 4/6 avec 4414 (rattrap)
7,3,—,—,—,—,—,Urgences (6/4),Poly 4/6 avec 4414,—,Pédo-soin (PEDO-6A-B-venM),Poly 4/6 avec 4414
8,3,—,—,—,—,—,—,Poly 4/6 avec 4414,Urgences (6/5/4),Pédo-soin (PEDO-6A-B-venM),Poly 4/6 avec 4414
9,4,S,S,S,S,S,S,S,S,S,S
10,4,S,S,S,S,S,S,S,S,S,S
11,4,S,S,S,S,S,S,S,S,S,S
12,4,S,S,S,S,S,S,S,S,S,S
13,4,S,S,S,S,S,S,S,S,S,S
14,4,S,S,S,S,S,S,S,S,S,S
15,4,S,S,S,S,S,S,S,S,S,S
16,4,—,—,—,—,—,Pédo-soin (PEDO-B3) [remplissage],Poly 4/6 avec 4414,—,Poly 4/6 avec 4414,—
17,4,—,—,—,—,Urgences (6/5/4),—,Poly 4/6 avec 4414,—,—,—
18,5,—,—,—,—,Urgences (6/4),—,Poly 4/6 avec 4414,—,Poly 4/6 avec 4414,—
19,5,—,—,—,Urgences (6/5),—,Poly 6A seul (examen),cours/indispo promo (F),cours/indispo promo (F),Poly 4/6 avec 4414,—
20,5,—,—,—,—,Urgences (6/4),—,Poly 4/6 avec 4414,—,Poly 4/6 avec 4414,—
21,5,cours/indispo promo (F),cours/indispo promo (F),—,—,—,—,Poly 4/6 avec 4414,—,Poly 4/6 avec 4414,Urgences (6/5/4)
22,5,—,—,—,—,—,—,Poly 4/6 avec 4414,—,Poly 4/6 avec 4414,—
23,5,—,—,—,—,—,—,Poly 4/6 avec 4414,—,Poly 4/6 avec 4414,—
24,5,—,—,—,Urgences (6/4),—,—,Poly 4/6 avec 4414,—,—,—
25,5,—,—,—,—,—,—,Poly 4/6 avec 4414,—,Poly 4/6 avec 4414,—
26,5,—,—,—,—,—,—,Poly 4/6 avec 4414,—,Poly 4/6 avec 4414,Urgences (6/5/4)
27,5,—,—,—,—,—,—,Poly 4/6 avec 4414,—,Poly 4/6 avec 4414,—
28,6,—,—,—,—,—,—,Poly 4/6 avec 4414,—,Poly 4/6 avec 4414,—
29,6,Urgences (6/4),—,—,—,cours/indispo promo (F),cours/indispo promo (F),—,—,—,—
30,6,—,—,—,—,—,—,Poly 4/6 avec 4414,—,—,—
31,6,—,—,—,—,—,—,Poly 4/6 avec 4414,—,Poly 4/6 avec 4414,Urgences (6/4)
32,6,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé
33,6,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé
34,6,—,—,—,—,—,—,Poly 4/6 avec 4414,—,Poly 4/6 avec 4414,—
35,6,—,—,—,—,—,—,Poly 4/6 avec 4414,—,Poly 4/6 avec 4414,—
